name,word,count
today,today,1627
voting,voting,900
make,make,818
people,people,753
polls,polls,647
time,time,597
like,like,544
day,day,539
win,win,537
right,right,532
us,us,531
please,please,528
year,year,464
know,know,436
think,think,418
myvote2016,myvote2016,413
artist,artist,406
away,away,403
cast,cast,397
still,still,393
