name,word,count
today,today,558
imwithher,imwithher,438
polls,polls,361
people,people,336
rihanna,rihanna,323
voting,voting,296
day,day,279
line,line,271
make,make,270
please,please,253
time,time,239
like,like,236
win,win,216
florida,florida,208
think,think,185
maga,maga,183
cast,cast,183
right,right,176
still,still,176
us,us,172
