name,word,count
people,people,1338
won,won,931
white,white,605
racist,racist,562
country,country,555
like,like,545
wins,wins,544
win,win,507
us,us,478
didn,didn,461
pennsylvania,pennsylvania,461
every,every,423
women,women,415
breaking,breaking,377
obama,obama,374
man,man,372
still,still,353
harambe,harambe,335
un,un,334
cnn,cnn,326
