name,word,count
people,people,2524
like,like,1307
wins,wins,925
white,white,922
country,country,803
women,women,762
right,right,740
didn,didn,734
won,won,719
win,win,675
everyone,everyone,639
fuck,fuck,632
us,us,630
still,still,619
man,man,612
results,results,584
harambe,harambe,580
party,party,577
tonight,tonight,576
years,years,569
