name,word,count
wins,wins,1963
people,people,1568
florida,florida,1350
like,like,1333
win,win,1276
fuck,fuck,1121
projects,projects,976
country,country,950
news,news,893
right,right,865
women,women,813
breaking,breaking,779
california,california,752
everyone,everyone,694
half,half,693
2016,2016,689
still,still,637
results,results,593
us,us,592
fox,fox,588
