name,word,count
florida,florida,1914
wins,wins,633
like,like,616
people,people,457
results,results,456
please,please,451
win,win,448
time,time,432
right,right,429
line,line,425
still,still,406
breaking,breaking,367
us,us,343
day,day,326
today,today,319
make,make,315
voting,voting,299
close,close,295
states,states,288
winning,winning,280
