name,word,count
florida,florida,1146
line,line,1029
polls,polls,975
like,like,909
wins,wins,889
day,day,806
make,make,791
people,people,776
time,time,736
today,today,733
voting,voting,724
please,please,721
click,click,709
win,win,700
results,results,688
close,close,684
register,register,671
colorado,colorado,665
still,still,657
cannabis,cannabis,651
