name,word,count
like,like,1937
wins,wins,1604
florida,florida,1458
results,results,1206
people,people,1080
still,still,947
right,right,919
win,win,780
watching,watching,694
voting,voting,692
line,line,691
everyone,everyone,643
la,la,628
please,please,621
lead,lead,588
states,states,577
us,us,575
time,time,567
could,could,562
going,going,555
