11/09 06:00 am,us,478
11/09 06:00 am,didn,461
11/09 06:00 am,pennsylvania,461
11/09 06:00 am,every,423
11/09 06:00 am,women,415
11/09 06:00 am,breaking,377
11/09 06:00 am,obama,374
11/09 06:00 am,man,372
11/09 06:00 am,still,353
11/09 06:00 am,harambe,335
11/09 06:00 am,un,334
11/09 06:00 am,cnn,326

